,recipe_name,cuisine_diet
1839,Til Pitha,indian kid-friendly
1840,Turkey Biryani,indian festive
1841,Simple Fried Chicken,continental non-vegetarian
1842,Special Tomato Bhaat,indian vegetarian
1843,Shark Mince Cutlets,anglo-indian non-vegetarian
1844,Shrimp-Mango Curry,indian kid-friendly
1845,Vella Sundal,indian festive
1846,Special Paneer in Cream,indian vegetarian
1847,Salmon with Ginger and Coriander,indian kid-friendly
1848,Rawa pulihora,indian vegetarian
1849,Aloo Mattar for Chappatis,indian vegetarian
1850,Simple Idli Chaat,indian kid-friendly
1851,Tutti-Frutti Ice-cream,continental festive
1852,Salmon Kebabs,indian kid-friendly
1853,Ridge Gourd Chutney (Hirekai Chutney),indian non-vegetarian
1854,Roasted Chilli Paste,indian non-vegetarian
1855,Ragda Pattice,indian kid-friendly
1856,Triffle Pudding,indian kid-friendly
1857,Urad dal with methi leaves,indian vegetarian
1858,Spicy Poories,indian vegetarian
1859,Special Sheer Kurma,indian vegetarian
1860,Rice and Chicken Salad,indian non-vegetarian
1861,Vegetable And Nut Pinwheel,continental kid-friendly
1862,Sizzling Stir Fried Vegetables,indian vegetarian
1863,Rice vegetable bake,indian kid-friendly
1864,Simple Carrot Kheer,indian festive
1865,Sizzling Spinach-n-Yoghurt Dal,indian kid-friendly
1866,Savoury pork chops,anglo-indian non-vegetarian
1867,Rajgiri Puris,indian vegetarian
1868,Spaghetti with soya nuggets,italian vegetarian
1869,Special Popcorn,indian vegetarian
1870,Simple Cabbage pakoras,indian vegetarian
1871,Shark Fish Salad,indian non-vegetarian
1872,Simple Potato - Peas Fry,indian vegetarian
1873,Ras-Batate,indian vegetarian
1874,Salad Nicoise,indian non-vegetarian
1875,Special Mango Pachadi,indian kid-friendly
1876,Raspberry Peach Crumble,continental non-vegetarian
1877,Sauce aux Crevettes,african non-vegetarian
1878,Sauteed Baingan Masala,indian vegetarian
1879,Shrimp Stew,indian non-vegetarian
1880,Simple Gulab Jamun,indian festive
1881,Special Kaju Barfi,indian festive
1882,Simple Anglo-Indian Beef Curry,anglo-indian non-vegetarian
1883,South Indian Egg Curry,indian non-vegetarian
1884,Shrimp Masala,indian non-vegetarian
1885,Special Paneer paratha,indian vegetarian
1886,Simple Poricha Kuzhambhu,indian kid-friendly
1887,Raw Banana Kura (Andhra),indian vegetarian
1888,Special Naan,indian vegetarian
1889,Special Tomato Chutney,indian vegetarian
1890,Simple pepper chicken,anglo-indian non-vegetarian
1891,Roast turkey with stuffing,indian non-vegetarian
1892,Roasted Almond Ice-Cream,indian vegetarian
1893,Solan,indian vegetarian
1894,Sheer Khurma,indian festive
1895,Simple Garlic curry,indian vegetarian
1896,Shrimp Slaw,continental non-vegetarian
1897,Red Chicken,indian kid-friendly
1898,Savoury Malpuas With Rabri,indian kid-friendly
1899,Sattu Paratha,indian vegetarian
1900,Sizzling Stuffed Bhindi,indian vegetarian
1901,Soya Grill,asian vegetarian
1902,Simple Pineapple Upside-Down Cake,continental festive
1903,Raw banana tikki,indian vegetarian
1904,Simple Rava Dosa,indian non-vegetarian
1905,Simple Microwave Chocolate Cake,continental kid-friendly
1906,Radish pachadi,indian kid-friendly
1907,Special Potato Curry,indian vegetarian
1908,Scrumptious Gulab Jamuns,indian kid-friendly
1909,Simple oats,indian high-protein
1910,Salmon Vegetable Dip,indian non-vegetarian
1911,Smoked Salmon Burgers,american kid-friendly
1912,Simple pork roast,anglo-indian non-vegetarian
1913,Sago Hariyali Pakoda,indian vegetarian
1914,Special Paneer Cutlets,indian vegetarian
1915,Ragi pindi pakoda,indian kid-friendly
1916,Shimla Mirch Baingan Rizala,indian vegetarian
1917,Special Hot Cross Buns,anglo-indian festive
1918,Special Kanda Poha,indian vegetarian
1919,Scones,continental kid-friendly
1920,Jiffy Chocolate Souffle,anglo-indian kid-friendly
1921,Rava Thalipeeth,indian vegetarian
1922,Raw plantain kofta curry,indian vegetarian
1923,Red Chicken Fry,indian non-vegetarian
1924,Vermicelli Halwa,indian kid-friendly
1925,Aloo-Paneer Paratha,indian kid-friendly
1926,Savoury Boiled Egg Fritters,anglo-indian non-vegetarian
1927,Tur Dal Kofta,indian vegetarian
1928,Flavoursome Tamarind Rice,indian vegetarian
1929,Traditional Vegetable Noodles,indian kid-friendly
1930,Special Kakara,indian festive
1931,Rice Noodle Dish,indian vegetarian
1932,Ridge or Bottle Gourd with Greens,indian non-vegetarian
1933,Yetti Fry (Prawn Fry),indian non-vegetarian
1934,Shrimp Salsa,mexican non-vegetarian
1935,Cucumber Banana Raita,indian vegetarian
1936,Special Paneer Jalfrezi,indian vegetarian
1937,Yam Okra Pepper Fry,indian vegetarian
1938,Veggie Herb Flavoured Toor Dal,indian vegetarian
1939,Tuna Cutlet,indian non-vegetarian
1940,Yummy Kaju Burfi,indian festive
1941,Soya Parotha,indian vegetarian
1942,Horse gram drink,indian kid-friendly
1943,Roasted Jacket Potatoes,indian vegetarian
1944,Easy rava dosa,indian kid-friendly
1945,Akrot-Anaanas Raita,indian festive
1946,Sizzling Spinach Chutney,indian vegetarian
1947,Rasam Dosa,indian vegetarian
1948,Chilled Rice Pudding,indian non-vegetarian
1949,Chocolate Souffle,anglo-indian festive
1950,Red chilli chammanthi,indian vegetarian
1951,Special Onion Dosas,indian vegetarian
1952,Adai with Red Chillies,indian vegetarian
1953,Ucche Bhaja,indian vegetarian
1954,Vegetable khichdi,indian vegetarian
1955,Shahi Machhi Patiala,indian non-vegetarian
1956,Radish leaves dal,indian vegetarian
1957,Zesty Coriander Rice,indian vegetarian
1958,Sabudana and Aloo Vada,indian vegetarian
1959,Tangy Vada Curry,indian vegetarian
1960,Sassy Tomato Thugayal,indian kid-friendly
1961,Special Methi Pulao,indian vegetarian
1962,Shahi Parantha,indian vegetarian
1963,Phaldari Kofta,indian vegetarian
1964,Red Fish Curry - Kerala style,american non-vegetarian
1965,Simple Potato Curry,indian vegetarian
1966,Aloo Rassewale,indian vegetarian
1967,Tortilla Wrap,mexican vegetarian
1968,X'Mas Delight,indian festive
1969,Red Lentil and Barley Soup,american vegetarian
1970,Almond Milkshake,indian kid-friendly
1971,Whole Wheat Palak Paratha,indian vegetarian
1972,Special Paneer Tikka,indian vegetarian
1973,Potato Raita,indian vegetarian
1974,Hot n Spicy Tomato Chutney,indian vegetarian
1975,Aloo Tamatar,indian vegetarian
1976,Special Vadakari,indian vegetarian
1977,Whole Chicken Pot Roast,anglo-indian non-vegetarian
1978,Turai (Ridge gourd) Ke Sabzi,indian vegetarian
1979,Cocoa Glace Icing,continental festive
1980,Vegan Choco-Oats Cookies,continental kid-friendly
1981,Special Vegetable Pancake,indian vegetarian
1982,Potato with spinach,indian vegetarian
1983,Dahi Murgi,indian non-vegetarian
1984,Palak Snack,indian vegetarian
1985,Yummy Yam Curry,indian vegetarian
1986,Tri-Colour Stir-fry,indian vegetarian
1987,Traditional Paneer Paratha,indian kid-friendly
1988,Chicken with pecans,indian non-vegetarian
1989,Vrat ke Jeera Aloo,indian festive
1990,Vegetable Raita,indian vegetarian
1991,Simple Pineapple Dessert,indian kid-friendly
1992,Yummy Almond Burfi,indian kid-friendly
1993,Yummy Bisi Bele Bath,indian vegetarian
1994,Traditional Tomato Rasam,indian vegetarian
1995,Egg And Cauliflower Casserole,anglo-indian non-vegetarian
1996,Veg Boiled Yong Tow Foo,chinese vegetarian
1997,Vegetable kuska,indian vegetarian
1998,Dhapalam,indian kid-friendly
1999,Vegetable Pulao (Microwave),indian vegetarian
2000,Vanilla flavored Canary Pudding,indian kid-friendly
2001,Whole Green Moong Dal,indian vegetarian
2002,Aloo Mutter Masala,indian vegetarian
2003,Turkey with Chestnut Dressing and Butter,continental non-vegetarian
2004,Sugar free Milk Chocolate,american vegetarian
2005,Winter Salad,continental non-vegetarian
2006,Tomato Risotto with Mascarpone,italian vegetarian
2007,Whole meal Pita Bread,indian kid-friendly
2008,Traditional Onion Pickle,indian vegetarian
2009,Vennaipoottu,indian festive
2010,Urad Dal Chakki,indian vegetarian
2011,Vazhapoo Porial,indian vegetarian
2012,Dudhi I Jo Seero (Lauki Ka Halwa),indian kid-friendly
2013,Refreshing Sundae,indian kid-friendly
2014,Vadai Curry,indian vegetarian
2015,Crispy Aloo Tikki with Noodles,indian festive
2016,Pineapple Semolina Cake,continental kid-friendly
2017,Traditional Homemade Mysore Pak,indian kid-friendly
2018,Vermicelli Pudding with saffron,indian festive
2019,Vrat ke Chawal,indian festive
2020,Watermelon Mutton,indian non-vegetarian
2021,Vermicelli Daddojanam,indian vegetarian
2022,Mango Pickle With Fenugreek,indian vegetarian
2023,Yellow Pumpkin Adai,indian vegetarian
2024,Veg Hariyali,indian vegetarian
2025,Saboodana Khichidi,indian festive
2026,Must-eat Gulab Jamuns,indian kid-friendly
2027,Traditional Dal Makhani,indian vegetarian
2028,Quick n Easy Aloo Fry,indian vegetarian
2029,Easy Akki Roti,indian vegetarian
2030,Varuthu Ariatha Kuzhambu,indian vegetarian
2031,Winter Ladoo ( Thandi Ke Ladoo ),indian festive
2032,Tri colour poha,indian high-protein
2033,White Pumpkin Morkuzhambu,indian vegetarian
2034,Vegetable Dalma,indian vegetarian
2035,Zucchini Kofta,indian vegetarian
2036,Tomato Cucumber Pickups,indian vegetarian
2037,Tasty American Chop Suey,chinese vegetarian
2038,Paneer Sandwich Pakoras,indian vegetarian
2039,Whole Moong Sprouts Raita,indian festive
2040,Chicken Cheese and Egg Casserole,american non-vegetarian
2041,Zucchini Rice,indian vegetarian
2042,Yummy Pasta,italian kid-friendly
2043,Lauki Sabji,indian vegetarian
2044,Amarantha Greens (Palak Saaru),indian vegetarian
2045,Watermelon Chiller,indian kid-friendly
2046,Vegetable Pilaf (Palau),anglo-indian vegetarian
2047,Vegetable Barbeque,indian vegetarian
2048,Wheat-Juwar Vada,indian vegetarian
2049,Zucchini N Potato Vadai,indian vegetarian
2050,Mango and Peach Cream,continental vegetarian
2051,Vegetable Egg Rolls,indian non-vegetarian
2052,Doodhi Curry,indian vegetarian
2053,Traditional Tomato Soup,indian vegetarian
2054,Nutritious Aloo Palak,indian vegetarian
2055,Vegan Chilli,south-american kid-friendly
2056,Gulab Jamun,indian vegetarian
2057,Tortilla Samosas,indian kid-friendly
2058,Yogi Rathna,indian vegetarian
2059,Aloo Ki Sabzi,indian vegetarian
2060,Plain Paras Khaja,indian festive
2061,Rice and Dal Adai,indian vegetarian
2062,Aloo Amritsari,indian vegetarian
2063,Veggie Pesto Pasta,italian festive
2064,Yakhni Pulao,indian vegetarian
2065,Zucchini Clear Soup,indian vegetarian
2066,Khakhra Chutney,indian vegetarian
2067,Cream of Olive Soup and Parsley,american vegetarian
2068,Vepam Poo Pachadi,indian festive
2069,Vegetable Chettinadu,indian vegetarian
2070,Washer Man's Pie,anglo-indian kid-friendly
2071,Simple Sarson Ka Saag,indian vegetarian
2072,Warm Spinach Salad on Croutes,indian vegetarian
2073,Zucchini - Courgette Crown Bread,indian kid-friendly
2074,Veg Parathas,indian vegetarian
2075,Watermelon Slush with Ice Cream,continental kid-friendly
2076,Yam Side Dish,anglo-indian vegetarian
2077,White Radish Dal,indian vegetarian
2078,Chicken & Potato Stew,anglo-indian non-vegetarian
2079,Nutritious Cabbage paratha,indian vegetarian
2080,Chicken Gravy with Egg,indian non-vegetarian
2081,Wholesome Aloo-Pyaaz,indian vegetarian
2082,Yogurt Chicken with Spices,indian non-vegetarian
2083,Ugadi Pachadi,indian vegetarian
2084,Yellow Dal Fry,indian vegetarian
2085,Diet Salad,indian low-fat
2086,Vegetables in Onion Masala,indian vegetarian
2087,Vegetable arhar dal,indian vegetarian
2088,Watermelon Delight,anglo-indian kid-friendly
2089,Wok Fried Chilli Prawns,chinese non-vegetarian
2090,Very Veggie Bread Upma,indian vegetarian
2091,Zucchini Stir Fry,indian festive
2092,Vattal Kozhambu,indian vegetarian
2093,Varyoon Patata,indian vegetarian
2094,Aloo Jeera Fry,indian vegetarian
2095,Traditional Vegetable Jhalfrazie,indian vegetarian
2096,Tuna Stuffed Bell Peppers,continental non-vegetarian
2097,Easy Aloo Paratha,indian vegetarian
2098,Wheat Bread Sandwiches,continental kid-friendly
2099,Fantastic Taco Casserole,american vegetarian
2100,Barbari Bread,iranian vegetarian
2101,Coconut Cookies with vanilla essence,anglo-indian kid-friendly
2102,Quick Aloo Paratha,indian vegetarian
2103,Orange Cream Coffee,american vegetarian
2104,Twisted Lime Drink,indian vegetarian
2105,Almond Mysore-pak,indian festive
2106,White Butter Chicken,indian non-vegetarian
2107,Chicken Buffad (Christmas Stew),anglo-indian non-vegetarian
2108,Almond and Squash Kheer,indian festive
2109,Egg Indad,indian non-vegetarian
2110,White Pumpkin Subji,indian vegetarian
2111,Traditional Vegetable Patholi,indian vegetarian
2112,Vegetable Macaroni,italian vegetarian
2113,Zero Oil Bake Potato Chips,continental vegetarian
2114,Ande ka kabab,anglo-indian non-vegetarian
2115,Yummy Crushed Lemon Pickle,indian vegetarian
2116,Sago Pancake,indian kid-friendly
2117,Trifle Khubani (Apricots),indian kid-friendly
2118,Traditional Pal Payasam,indian festive
2119,Vegetable Chandni,indian kid-friendly
2120,Veg Cheese Toast Sandwich,indian kid-friendly
2121,Zarda (sweet yellow rice),indian kid-friendly
2122,Pista Burfi,indian festive
2123,Varutharacha Meen Curry,indian non-vegetarian
2124,Special Tomato Sambal,indian vegetarian
2125,American Walnut Brownies,american kid-friendly
2126,Spinach Raita,indian vegetarian
2127,Alsa (Hareesa),arab non-vegetarian
2128,Aloo Methi Fry,indian vegetarian
2129,Zucchini tomato poduthuval,indian vegetarian
2130,Vegetable Kaara Kozhukattai,indian vegetarian
2131,Almond Chutney,indian vegetarian
2132,Corn Pulao with Apple Raita,indian vegetarian
2133,Aloo Gobi in Curd based Masala,indian vegetarian
2134,Tort-Ds,continental non-vegetarian
2135,vegetable poha,indian vegetarian
2136,Traditional Ukadiche Modak,indian vegetarian
2137,Aloo Pyaaz Parathas,indian vegetarian
2138,Apple Almond Rabdi,indian vegetarian
2139,Vegetable Sour Pickle,indian vegetarian
2140,Wheat Flour Ladoo,indian festive
2141,Walnut Apple Rice,continental vegetarian
2142,Quick Mixed vegetable sambar,indian vegetarian
2143,Onion Adai,indian vegetarian
2144,Tuna Burgers,american kid-friendly
2145,Plain Aloo Palak,indian vegetarian
2146,Cheesy Bake Cauliflower,anglo-indian non-vegetarian
2147,Vegetable Tofu Pancakes,asian vegetarian
2148,Deep fried Chicken Pakoras,indian non-vegetarian
2149,Palak Makke Capsicum Wali,indian vegetarian
2150,Simple Broccoli Pakoda,indian vegetarian
2151,Tri-Colour Marble Cake,anglo-indian kid-friendly
2152,Veg Mexican Crunchy Wraps,continental vegetarian
2153,Vegetable Masala Curry,indian vegetarian
2154,Traditional Kanchipuram Idli,indian kid-friendly
2155,Zesty Tomato soup,indian vegetarian
2156,Traditional Paneer Kofta,indian vegetarian
2157,Traditional Naan,indian festive
2158,Hot Caramel Choco Tarts,continental kid-friendly
2159,Methi Sambhar,indian vegetarian
2160,Tuna and cucumber buns,american non-vegetarian
2161,Chocolate Fudge Pudding,american kid-friendly
2162,Plain Almond Burfi,indian kid-friendly
2163,Vanilla Ice Cream,indian kid-friendly
2164,Zucchini Tomato Topping,indian vegetarian
2165,Yellow Shrimp Curry,thai non-vegetarian
2166,Zuchini Rotis,indian vegetarian
2167,Simple Guttivankaya Curry,indian vegetarian
2168,Saffron Flavored Almond Milkshake,indian vegetarian
2169,Vegetable Salad,chinese vegetarian
2170,Upperi,indian festive
2171,Aloo Ghosht,indian non-vegetarian
2172,Traditional Goan Christmas Cake,indian festive
2173,Microwave Almond Brownies,american kid-friendly
2174,Special Palak Corn Brown Rice,indian vegetarian
2175,Valhi Chicken Kebabs,anglo-indian non-vegetarian
2176,Savoury Doughnuts,anglo-indian kid-friendly
2177,White Chocolate Raspberry Cheesecake,american kid-friendly
2178,Vegetable Cheese Toast,indian vegetarian
2179,Vegetable Shrimp,indian festive
2180,Udin Vada,indian vegetarian
2181,Vegetable Sizzler,indian vegetarian
2182,Sassy Vegetable Fried Rice,indian vegetarian
2183,Veggie Sub,indian vegetarian
2184,Fish Ambotik,indian festive
2185,Whole Wheat and Nut Muffins,american kid-friendly
2186,White Coconut Milk Rice,indian vegetarian
2187,Semolina Pancakes,indian kid-friendly
2188,"Rich, spicy ponganalu",indian vegetarian
2189,Soya Yummy Patties,indian festive
2190,Mixed Bhaji,indian vegetarian
2191,Traditional Onion Rice,indian vegetarian
2192,Whole Eggplant Fry,indian kid-friendly
2193,Rustic dal,indian vegetarian
2194,Simple Masala Paneer,indian vegetarian
2195,Simple Instant Dosa,indian vegetarian
2196,Date-Nut Slices,continental kid-friendly
2197,Special Onion Masala Vada,indian vegetarian
2198,Vegetable Lasagne,indian festive
2199,7 Cups Besan Sweet,indian festive
2200,Roomali Roti,continental kid-friendly
2201,Tripe - Hot and Spicy,anglo-indian non-vegetarian
2202,Roasted Duck,indian diet
2203,Savoury Baby Potatoes,anglo-indian vegetarian
2204,Pasta and Potato Roast,indian festive
2205,Special Tomato Pickle,indian vegetarian
2206,Coconut Fudge,anglo-indian festive
2207,Raisin Chutney,indian festive
2208,Simple garlicky tamarind dal,indian vegetarian
2209,Traditional Vegetable Pakoras,indian vegetarian
2210,Dhungar Paneer Tikka,indian vegetarian
2211,Saboodana Vada,indian vegetarian
2212,Satay Sauce,thai vegetarian
2213,Rice Flakes Kheer,indian vegetarian
2214,Red Chilli Fish Curry,indian non-vegetarian
2215,Rice Flakes Upma,indian vegetarian
2216,South Indian Goda masala,indian vegetarian
2217,South Indian kadi (majjiga pulusu),indian vegetarian
2218,Shrimp Stir Fry,chinese non-vegetarian
2219,Shavge Payasam,indian festive
2220,Soothing khichdi,indian festive
2221,Soft Gulab Jamuns,indian kid-friendly
2222,Simple Instant Mango Pickle,indian vegetarian
2223,Simple Mango Lassi,indian vegetarian
2224,Red Wine,indian festive
2225,Salted Microwaved Cashews,indian vegetarian
2226,Simple Chicken,indian non-vegetarian
2227,Simple Pati Sapta,indian festive
2228,Sanna Khotto,indian vegetarian
2229,Sizzling Tandoori Aloo,indian vegetarian
2230,Solkadi,indian festive
2231,Special Kadgi Chakko,indian vegetarian
2232,Simple Peanut chutney,indian kid-friendly
2233,Sizzling Therati Paal,indian kid-friendly
2234,Rawa and Mawa Laddoos,indian vegetarian
2235,Sambar,indian vegetarian
2236,Simple Iced Tea,indian vegetarian
2237,Simple Mathri,indian kid-friendly
2238,Simple Mushroom Biryani,indian non-vegetarian
2239,Simple stuffed capsicum,indian vegetarian
2240,Rich Chocolate Smoothies,indian vegetarian
2241,Soda Pops,indian kid-friendly
2242,Simple Methi Chicken,indian non-vegetarian
2243,Special Masala Baingan,indian kid-friendly
2244,Salted gooseberry pickle,indian kid-friendly
2245,Shunti (Ginger tambuli),indian vegetarian
2246,Simple Mor Kuzhambu,indian vegetarian
2247,South Indian Peas Mushroom Chilli Fry,indian vegetarian
2248,Raw Tomato Kootu,indian vegetarian
2249,Special Orange Floats,continental festive
2250,Smoothie,indian vegetarian
2251,Raw rice Dosas,indian vegetarian
2252,Soya Seekh Kebab,indian vegetarian
2253,Special Masala Puri,indian kid-friendly
2254,Spaghetti with meat balls,italian non-vegetarian
2255,Simple Plum Cake,anglo-indian festive
2256,Special Pancakes,continental kid-friendly
2257,Sizzling Sweet corn vegetable soup,chinese vegetarian
2258,Special Kheer,indian vegetarian
2259,Soya Sour and pepper Soup,indian vegetarian
2260,Shabnam Curry,indian festive
2261,Sizzling Sweet Potato Chips,indian kid-friendly
2262,Shaahi Jhinga Masaledaar,indian non-vegetarian
2263,Sevai Fruit Surprise,indian festive
2264,Red Chilly Paste - Chinese Recipe,russian non-vegetarian
2265,Semolina Kakara,indian festive
2266,Simple Paruppu Usili,indian vegetarian
2267,Sesame Diyas,indian kid-friendly
2268,Savoury Bread (Bread Upma),indian vegetarian
2269,Soft n Easy Dosa,indian vegetarian
2270,Simple Cucumber Kootu,indian vegetarian
2271,Soy Chicken Kebabs,indian festive
2272,Sizzling Tandoori Chicken Masala,indian festive
2273,Shrimp Masala (Kolambiche Suke),indian non-vegetarian
2274,Spaghetti with Smoked Tomato Sauce and Basil,italian kid-friendly
2275,Soft Potato Kachoris,indian kid-friendly
2276,Simple Lentil Soup,continental non-vegetarian
2277,Sizzling Tender Coconut Pudding,continental vegetarian
2278,Seyal Kadai Gosht,indian non-vegetarian
2279,Simple Homemade Avial,indian vegetarian
2280,Singhare Ke Parathe,indian vegetarian
2281,Sabudana khichdi,indian kid-friendly
2282,Special Green Chilli Pickle,indian vegetarian
2283,Simple Potato and Cucumber Kootu,indian vegetarian
2284,Simple Fruit Cake,indian festive
2285,Roasted Wheat Purwalankai,indian vegetarian
2286,Raw Banana Plantain Podimas,indian vegetarian
2287,Raw tomato chutney,indian vegetarian
2288,Sathyanarayana Prasad (Seera),indian vegetarian
2289,Raw banana curry with methi leaves,indian vegetarian
2290,Shrimp Potato Fingers,indian non-vegetarian
2291,Simple Kofta Curry,indian non-vegetarian
2292,Snow Balls Kheer,indian festive
2293,Special Mutton Stew,indian non-vegetarian
2294,Special Mango Smoothie,indian kid-friendly
2295,Sojjiappalu,indian festive
2296,Sora Puttu,indian non-vegetarian
2297,Rava Idli with Sagoo,indian low-calorie
2298,Special Rava Idli,indian vegetarian
2299,Rice Pakoda,indian vegetarian
2300,Sassy Tomato Chutney,indian vegetarian
2301,Soyawadi stuffed parathas,indian vegetarian
2302,Simple n Easy Shahi paneer,indian vegetarian
2303,Raw banana curry,indian non-vegetarian
2304,Shahi Kheema Paratha,indian non-vegetarian
2305,Special Spicy Chicken,indian non-vegetarian
2306,Special Tomato Curry,indian vegetarian
2307,Salted potato wafer chaat,indian kid-friendly
2308,Special Hyderabadi dal gosht,indian non-vegetarian
2309,Sausage Sandwiches,anglo-indian kid-friendly
2310,Special Palak Dal,indian vegetarian
2311,Sitaphal Ice-cream,indian kid-friendly
2312,Salsa with nachos,indian vegetarian
2313,Shahi tikki,indian kid-friendly
2314,Ragi Manni,indian festive
2315,Singal,indian vegetarian
2316,Simple Paruppu Kadaiyal,indian vegetarian
2317,Shrimp Fry,indian non-vegetarian
2318,Rice Flour Roti,indian vegetarian
2319,Special Gulab Jamun,indian kid-friendly
2320,Simple Kothimbir Vadi,indian vegetarian
2321,Scrumptious Chocolate Cake,continental kid-friendly
2322,Sambar with Pumpkin,indian vegetarian
2323,Rava Pancake,indian kid-friendly
2324,Simple Cocoa Muffins,continental kid-friendly
2325,Shahi Chicken Biryani,indian non-vegetarian
2326,Simple Quick Batata Vada,indian kid-friendly
2327,Special Mutton Palak,indian non-vegetarian
2328,Special Matar Paneer,indian vegetarian
2329,Snake Gourd Cutlets,indian vegetarian
2330,Simple dal Curry,indian vegetarian
2331,Roasted bell pepper Soup,indian vegetarian
2332,Special Tomato Onion Raita,indian vegetarian
2333,Ragi Idiyappam with Coconut milk - Veg Kurma,indian kid-friendly
2334,Shrimp Salad,continental non-vegetarian
2335,Simple Kosambari,indian vegetarian
2336,Simple Mango Pie,indian kid-friendly
2337,Snake Gourd Kootu,indian vegetarian
2338,Simple Pomfret Curry,anglo-indian non-vegetarian
2339,Soya Thandai,indian vegetarian
2340,Radish Foogath,indian festive
2341,Simple Goan Prawn Curry,indian non-vegetarian
2342,Rava Pongal,indian kid-friendly
2343,Smelt - Fish pickle,indian non-vegetarian
2344,Raita with an Attitude,indian kid-friendly
2345,Simple Rice kali,indian vegetarian
2346,Ripe Mango Kadi (Pulichery),indian vegetarian
2347,Red Bell Pepper and Sun-dried Tomato Dip,indian vegetarian
2348,Savoury Roast Duck,anglo-indian non-vegetarian
2349,Special Rava Dosa,indian vegetarian
2350,Shankarpala,indian festive
2351,Roast Beef,indian non-vegetarian
2352,Sizzling Sweet Mango Chutney,indian vegetarian
2353,Soya bean Nuggets Curry,indian kid-friendly
2354,Simple Rabdi,indian kid-friendly
2355,Rice Idli Batter,indian vegetarian
2356,Special Paanagam,indian kid-friendly
2357,Rose Milk Pudding,indian kid-friendly
2358,Special Paneer Burji,indian vegetarian
2359,Mast Palak Paneer,indian vegetarian
2360,Special Palak Kofta,indian festive
2361,Simple Ginger Rasam,indian vegetarian
2362,Salmon Masala,indian non-vegetarian
2363,Sago Vada with Peanuts,indian kid-friendly
2364,Savoury Chilli Mutton,indian festive
2365,Sizzling Spinach Kurma,indian vegetarian
2366,Simple Sago Murukku,indian vegetarian
2367,Raw Banana Malai Fry,indian vegetarian
2368,How to make soft rotis,indian vegetarian
2369,Sev Shak,indian vegetarian
2370,Rice And Vegetable Paratha,indian vegetarian
2371,Sooji cupcake ( Microwave ),american vegetarian
2372,Simple Scones,continental kid-friendly
2373,Special Hot and Sour Soup,indian vegetarian
2374,Special Masala Akki Rotti,indian vegetarian
2375,Simple Puri,indian vegetarian
2376,Soya Gujia (Sweet),indian kid-friendly
2377,Special Paneer Butter Masala,indian vegetarian
2378,Sizzling Spinach Dal,indian vegetarian
2379,Soft Mysore Paak,indian festive
2380,Special kheer with rice,indian vegetarian
2381,Rava Fish Fry,indian festive
2382,Shahi Gobi,indian vegetarian
2383,Roasted Tomato Salsa,indian vegetarian
2384,Snowy Orange Lilies,indian vegetarian
2385,Rava Onion Vada,indian non-vegetarian
2386,Simple Bread Pizza,continental kid-friendly
2387,Shrimp and Onions,indian non-vegetarian
2388,Raita,indian vegetarian
2389,Simple Fried Fish,anglo-indian non-vegetarian
2390,Sassy Vegetable Biryani,indian vegetarian
2391,Soya Curry,indian vegetarian
2392,Sauteed Carrot Palya,indian vegetarian
2393,Raw Rice Kheer,indian vegetarian
2394,Special Ragi Roti,indian festive
2395,Soya Chutney,indian vegetarian
2396,Sajjappalu,indian vegetarian
2397,Simple Garlic Rice,indian vegetarian
2398,Shrimp Soup,indian non-vegetarian
2399,Sizzling Tempura,japanese non-vegetarian
2400,Seveiyan Lajawab,indian kid-friendly
2401,Rajma Curry,indian kid-friendly
2402,Rawalpindi Chole,indian vegetarian
2403,South Sea Noodles,indian vegetarian
2404,Sizzling Stuffed Tomatoes,mexican vegetarian
2405,Simple Fried Rice with Cashewnuts,indian vegetarian
2406,Rolled Pancakes,continental festive
2407,Soupy Dumplings,indian vegetarian
2408,Special Palak Kebab,indian vegetarian
2409,Rogan Josh,american non-vegetarian
2410,Rava Aloo Vada,indian vegetarian
2411,Sheer Kurma,indian kid-friendly
2412,Scrambled Eggs on Toast,indian non-vegetarian
2413,Simple Potato pepper fry,indian kid-friendly
2414,Shahi Chicken,indian non-vegetarian
2415,Simple Turai Dal,indian vegetarian
2416,Raw Banana Podimas,indian vegetarian
2417,Simple Rice Rotis,indian vegetarian
2418,Simple Mixed Vegetable Sambar,indian vegetarian
2419,Simple Apple chutney,indian vegetarian
2420,Shrimp with vegetables,indian non-vegetarian
2421,Special Kerala Fish Curry,indian non-vegetarian
2422,Special Mysore Rasam,indian vegetarian
2423,Sabzi Handi,indian vegetarian
2424,Simple Pineapple Souffle,french kid-friendly
2425,Rawa Kesari (Microwave),indian vegetarian
2426,Shikari-Murgi,indian non-vegetarian
2427,Raw Tomato Curry,indian vegetarian
2428,Simple Khandvi,indian vegetarian
2429,Red Pumpkin Race,continental non-vegetarian
2430,Ruhi Macher Kalia,indian non-vegetarian
2431,Radish Sabzi,indian festive
2432,Snake Gourd Puttu,indian vegetarian
2433,Sooji ka cheela,indian vegetarian
2434,Rajma Korma,indian kid-friendly
2435,Simple Meat Fry,anglo-indian non-vegetarian
2436,Rava Uttapam,indian vegetarian
2437,Festive Special Mysore Pak,indian festive
2438,Simple n Easy Fried Fish,indian non-vegetarian
2439,Spanish Bake,spanish kid-friendly
2440,Soft puffed rice dosa,indian vegetarian
