,recipe_name,cuisine_diet
367,Achari Paneer Tikka,indian vegetarian
368,Apple Juice,indian kid-friendly
369,Indian Drumstick Curry,indian vegetarian
370,Aloo Bhindi Masala,indian kid-friendly
371,Apple rasam,indian vegetarian
372,8-minute Cheese Cake,continental festive
373,Apricot nectar,continental kid-friendly
374,Vegetable Stew under 30 minutes,indian vegetarian
375,Arabian Rice,middle-east non-vegetarian
376,Mumbaiya Pav Bhaji,indian kid-friendly
377,Arbi With Mustard Masala,indian vegetarian
378,American Cabinet Pudding,american kid-friendly
379,Arabic Cheese Roll,arab vegetarian
380,Dahi Wada,indian vegetarian
381,Stuffed Triangles,indian festive
382,Mixed Veggies Kootu,indian vegetarian
383,Dal-Cheese Kofta Curry,indian kid-friendly
384,Akki roti with cabbage palya,indian vegetarian
385,Apricot Fudge,continental festive
386,Hard boiled Egg Curry,indian non-vegetarian
387,Aloo banda (Alu Choup),indian vegetarian
388,Kokum Kadi,indian vegetarian
389,Indian Chilli Crab Masala,indian non-vegetarian
390,Arikkadukka (Stuffed mussels),indian non-vegetarian
391,Ankurit Moth Salad,indian vegetarian
392,Khara Boondhi,indian vegetarian
393,Mughlai Murg,indian non-vegetarian
394,Aloo chana Masala,indian vegetarian
395,Hawaian Confections,american kid-friendly
396,Chicken Gravy in Yoghurt,indian non-vegetarian
397,Aam panna,indian kid-friendly
398,Spicy Brinjal Stew,indian vegetarian
399,Aloo Tuk Chaat,indian vegetarian
400,Tangy Grilled Veggies,indian vegetarian
401,Almond Rice Kheer,indian vegetarian
402,Mushroom Masala for Bachelors,indian festive
403,Easy Chocolate Ice Cream,american kid-friendly
404,Aloo methi dry,indian vegetarian
405,Almond kesari,indian festive
406,Almond soup,indian kid-friendly
407,Dal Chutney,indian vegetarian
408,Aloo Ki Khatti Tarkari,indian vegetarian
409,Garlic Chutney with Cilantro,indian vegetarian
410,Asian Chilli Beef with Leeks,asian non-vegetarian
411,Ambshi Tikshi Kadi - Fish,indian non-vegetarian
412,Apple Bread Butter Pudding,continental kid-friendly
413,Brussels Sprouts Curry,indian kid-friendly
414,Almond Modak,indian festive
415,Aloo Kasoori Methi,indian vegetarian
416,Aloo Bhatt,indian vegetarian
417,Masaledar Baingan Raita,indian vegetarian
418,Aloo Capsicum Sabji,indian vegetarian
419,Apple and Raisin Curry,indian vegetarian
420,Aachari Chicken,indian non-vegetarian
421,Sour fish curry,indian non-vegetarian
422,Aam Kali,indian vegetarian
423,Kannvali Roti,indian vegetarian
424,African Sweet Potato-Peanut Stew,african vegan
425,Almond Bars With A Citrusy Glaze,american vegan
426,Apricot Oat Muffins,american kid-friendly
427,Berry Banana Crepes for Breakfast,continental kid-friendly
428,Anglo Indian Grilled Prawns,anglo-indian non-vegetarian
429,Egg and Milk Ada,indian non-vegetarian
430,Anglo-Indian Meat Pepper Fry,anglo-indian non-vegetarian
431,Goan Pork Masala,indian non-vegetarian
432,Deep Fried Egg Snack,indian kid-friendly
433,Peanut Chutney,indian vegetarian
434,Aata ka seera,indian festive
435,Apple and Celery Soup,continental kid-friendly
436,5 -Minutes Zucchini Pickle,american vegetarian
437,Almond milk semiya kesari,indian kid-friendly
438,Ananas Sandesh,indian kid-friendly
439,Baby corn Rice,indian vegetarian
440,Onion Pachadi,indian vegetarian
441,Dahi Chicken,indian non-vegetarian
442,Afghani Dal,afghani vegetarian
443,Anaarkli Bhel,indian vegetarian
444,Apricot And Date Wine,anglo-indian festive
445,Anjeer Delight,indian festive
446,Brinjal Muttabal,indian vegetarian
447,Aratikay Pulisu (banana),indian vegetarian
448,Caramel Custard,indian kid-friendly
449,Amaranth Stem and Jack Fruit Seeds Palya,indian vegetarian
450,Amaranth Stem and Jack Fruit Seeds Palya,indian vegetarian
451,Aloo Sandwich,indian vegetarian
452,Apple Meringue Dessert,american non-vegetarian
453,Stewed Lasuni Fish,indian non-vegetarian
454,Anjeer khajur kulfi,indian festive
455,Sweet Poha with Jaggery,indian kid-friendly
456,Festive Mysore Pak,indian festive
457,Ada Dosai and Coconut Thuvayal,indian vegetarian
458,Adai with Dals,indian vegetarian
459,American Sev Puri,indo-american vegetarian
460,Continental Deviled Eggs,continental non-vegetarian
461,Fenugreek Chicken,indian non-vegetarian
462,Chicken Serunding,malaysian non-vegetarian
463,Vegetarian Omelette for Breakfast,indian vegetarian
464,Goan Lean Pork Vindaloo,goan non-vegetarian
465,Apple Muffins,continental kid-friendly
466,Green Chilli chicken,indian non-vegetarian
467,Aalu Bonda AP style,indian vegetarian
468,Apple Fritters,anglo-indian festive
469,Yummy Coconut Custard,continental kid-friendly
470,Aloo Chaat,indian vegetarian
471,Indian Almond and Mushroom Soup,indian vegetarian
472,Amrtisari Machli,indian non-vegetarian
473,Allu Manchuria,indian vegetarian
474,Aloo ki puris,indian vegetarian
475,Almond Biscuits with Orange Butter cream,american kid-friendly
476,Adai Dosa,indian kid-friendly
477,Apple Pie Bars,american kid-friendly
478,Sweet Puri with Jaggery,indian vegetarian
479,Apple Rings,continental kid-friendly
480,Amrakhand,indian festive
481,White Poppy seeds halwa,indian kid-friendly
482,Ambrosia Crepes,continental festive
483,Anglo-Indian Cream Of Vegetable Soup,anglo-indian vegetarian
484,Bitter gourd With Fresh Yoghurt,indian vegetarian
485,Aam ki lanji chutney,indian vegetarian
486,Strawberry Parfait,continental kid-friendly
487,Aloo Bahaar-e-Dum,indian vegetarian
488,Madras Vada Curry,indian vegetarian
489,Apple Custard Muffin,indian kid-friendly
490,Cucumber kootu,indian vegetarian
491,Americano,continental festive
492,Indian Patishapta,indian festive
493,Amla Murabba,indian vegetarian
494,Brinjal Curd Raita,indian vegetarian
495,Sweet Steamed Idlis,indian vegetarian
496,Anokhi Simple Mutton Biryani,indian non-vegetarian
497,Bottle Gourd Curry,indian vegetarian
498,Chinese Sticks,indo-chinese kid-friendly
499,Chinese Chilli Capsicum,chinese vegetarian
500,Aloo Bokhara Pickle,indian vegetarian
501,Egg Delight,indian non-vegetarian
502,Chick Pea Salad,indian vegetarian
503,Amla (Indian Gooseberry) Marmalade,indian kid-friendly
504,Continental Mayonnaise,continental kid-friendly
505,Instant Mixed Dal Dosai,indian kid-friendly
506,Andhra Style Chicken Fry,indian non-vegetarian
507,Dalsa,indian vegetarian
508,Apple and Mint Chutney,indian vegetarian
509,Aloo Soya Tikki,indian vegetarian
510,Almond Cashew Curry with spices,indian festive
511,Rava Cake with Dry Fruits,indian festive
512,Angel Hair Pasta With Green Beans And Mushrooms,italian vegan
513,Arisi Vella Puttu,indian festive
514,Almond And Chocolate Fingers,indian kid-friendly
515,Crab Chilly,indian non-vegetarian
516,Anapa ginjala pulusu,indian vegetarian
517,Aloo Vada Curry,indian vegetarian
518,Apple Rabadi,indian kid-friendly
519,Apple Cake with Caramel-Pecan Glaze,american kid-friendly
520,Aamras ke Malai Alu,indian vegetarian
521,Chicken kuzhambu with Coconut Milk,indian non-vegetarian
522,Aapam,indian vegetarian
523,Garma Garam Zucchini Stir Fry,anglo-indian vegetarian
524,Apricot Gingerly Smoothie,continental vegetarian
525,Cucumber Soup for summers,indian vegetarian
526,Aloo Wadi (Patra),indian vegetarian
527,Cheese Salad,continental vegetarian
528,Easy Aloo Curry,indian vegetarian
529,Appetising Russian Salad,indian high-protein
530,Coconut Custard,anglo-indian festive
531,Egg Pudding,indian non-vegetarian
532,Anarsa (Sweet Dish),indian festive
533,Arabic Kafta Kebab,arab non-vegetarian
534,Date Halwa,anglo-indian festive
535,Drumstick Soup,indian vegetarian
536,Ada prathaman,indian vegetarian
537,Aloo Aur Ande Ki Tikki,indian non-vegetarian
538,Aloo and Til Sabzi,indian vegetarian
539,Egg Bhurji Roll for Kids,indian kid-friendly
540,Aloo Matar Tehri (Matar Vadi Wale Chawal),indian vegetarian
541,Sukha Anda Masala,indian non-vegetarian
542,Indian Pomfret Curry,indian non-vegetarian
543,Al-Poshe Pakora (Pumpkin Flower Pakora),indian vegetarian
544,Cabbage Adai,indian low-calorie
545,Tasty Vadai,indian vegetarian
546,Apple Sandesh,indian kid-friendly
547,Idli Pakoda,indian vegetarian
548,Cream Chicken,indian non-vegetarian
549,Sri Lankan Fish Stew,sri-lankan non-vegetarian
550,Crunchy Hawaian Chicken wrap,continental non-vegetarian
551,Aloo Gobi Fry,indian kid-friendly
552,Achaari bhindi,indian vegetarian
553,Almond Chikki,indian festive
554,Aripathiri (Rice flour chapatti),indian vegetarian
555,Andhra Pudi,indian vegetarian
556,Dal Vada Recipe,indian kid-friendly
557,Arai keerai charu,indian vegetarian
558,Apple Scones,continental kid-friendly
559,7 cup cake (besan katli),indian vegetarian
560,Dahi Aloo,indian vegetarian
561,Holiday Fudge,continental festive
562,Cheesy Orange Floats,indian kid-friendly
563,Vellai Dosai,indian vegetarian
564,Vegetable Curry,indian vegetarian
565,Apple Sauce,continental vegetarian
566,Arabic Shrimps with Cumin,arab non-vegetarian
567,Karaikudi Keerai Kootu,indian vegetarian
568,Til Gud Chappati,indian kid-friendly
569,Gujarati Gevar,indian festive
570,Aloo Dhania Parathas,indian vegetarian
571,4 Minute Dosa,indian kid-friendly
572,Gaajar ka kofta,indian vegetarian
573,Apple and Raisin Salad,indian vegetarian
574,Indian Sorra Puttu,indian non-vegetarian
575,Vanilla Flavoured Caramel Custard,continental festive
576,Sarson Saag,indian vegetarian
577,Aloo Kichidi,indian vegetarian
578,Capsicum Curry with Peanuts,indian vegetarian
579,Sweet Potato Kheer for Festivals,indian festive
580,Arbi seekh kabab,indian non-vegetarian
581,Arisi Upma Kozhakattai,indian vegetarian
582,Akbari Paneeer,indian vegetarian
583,5 Minute Rasam,indian vegetarian
584,Aloo Cheese Cutlets,indian vegetarian
585,Apple Gojju,indian vegetarian
